ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDL074C,BRE1,,dma651,180,68,0.3777777777777777,1.0,0.2647058823529412,0.2352941176470588,0.0,0.0735294117647058,0.0,0.1176470588235294,0.0441176470588235,0.0,0.2205882352941176,0.0441176470588235
YFR010W,UBP6,,dma1515,69,42,0.6086956521739131,1.0,0.1428571428571428,0.3333333333333333,0.0,0.0476190476190476,0.0,0.1904761904761904,0.0714285714285714,0.0,0.1666666666666666,0.0476190476190476
YJL036W,SNX4,,dma2471,139,39,0.2805755395683453,1.0,0.1538461538461538,0.282051282051282,0.0256410256410256,0.0256410256410256,0.0,0.2564102564102564,0.0769230769230769,0.0,0.1282051282051282,0.0512820512820512
YKR082W,NUP133,,dma3009,106,54,0.5094339622641509,1.0,0.1296296296296296,0.3703703703703703,0.037037037037037,0.037037037037037,0.0,0.2037037037037037,0.037037037037037,0.0,0.1111111111111111,0.074074074074074
YKL069W,,,dma2802,117,56,0.4786324786324786,1.0,0.1964285714285714,0.1964285714285714,0.0178571428571428,0.0178571428571428,0.0,0.2678571428571428,0.0892857142857142,0.0,0.125,0.0892857142857142
YJR118C,ILM1,,dma2723,508,186,0.3661417322834646,1.0,0.1075268817204301,0.3010752688172043,0.0161290322580645,0.1505376344086021,0.0,0.1989247311827957,0.0268817204301075,0.0,0.1827956989247312,0.0161290322580645
YNL199C,GCR2,,dma4071,57,36,0.631578947368421,1.0,0.1666666666666666,0.5277777777777778,0.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.1388888888888889,0.0555555555555555
YOR089C,VPS21,,dma4520,154,47,0.3051948051948052,1.0,0.0851063829787234,0.2978723404255319,0.0,0.2340425531914893,0.0,0.1489361702127659,0.1063829787234042,0.0,0.0851063829787234,0.0425531914893617
YPL055C,LGE1,,dma4805,49,38,0.7755102040816326,1.0,0.2105263157894736,0.4473684210526316,0.0,0.0526315789473684,0.0,0.1842105263157894,0.0263157894736842,0.0,0.0526315789473684,0.0263157894736842
YKL018W,SWD2,swd2-ts1,tsa173-37C,151,32,0.2119205298013245,1.0,0.0,0.75,0.0,0.03125,0.03125,0.0625,0.09375,0.0,0.0,0.03125
YDR182W,CDC1,cdc1-1,tsa31-37C,425,336,0.7905882352941176,1.0,0.0059523809523809,0.3511904761904761,0.0178571428571428,0.0238095238095238,0.0,0.1220238095238095,0.0029761904761904,0.0,0.4702380952380952,0.0059523809523809
YLR268W,SEC22,sec22-1,tsa313-37C,213,101,0.4741784037558685,1.0,0.0099009900990099,0.1089108910891089,0.2079207920792079,0.0198019801980198,0.0,0.0594059405940594,0.297029702970297,0.0,0.2277227722772277,0.0693069306930693
YIR022W,SEC11,sec11-2,tsa318-37C,334,177,0.5299401197604791,1.0,0.0056497175141242,0.1016949152542373,0.0338983050847457,0.1412429378531073,0.0,0.2937853107344633,0.0282485875706214,0.0,0.3559322033898305,0.03954802259887
YIL143C,SSL2,ssl2-ts,tsa648-37C,437,97,0.2219679633867277,1.0,0.0824742268041237,0.1958762886597938,0.0721649484536082,0.0824742268041237,0.0,0.1546391752577319,0.0412371134020618,0.0,0.3092783505154639,0.0618556701030927
YER125W,RSP5,rsp5-sm1,tsa464-37C,23,20,0.8695652173913043,1.0,0.0,0.6,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0
YLR005W,SSL1,ssl1-t242i,tsa752-37C,277,209,0.7545126353790613,1.0,0.0,0.1435406698564593,0.0669856459330143,0.1004784688995215,0.0,0.1818181818181818,0.0526315789473684,0.0,0.3971291866028708,0.0574162679425837
YER093C,TSC11,tsc11-5,tsa811-37C,82,79,0.9634146341463414,1.0,0.0,0.9746835443037974,0.0,0.0,0.0253164556962025,0.0,0.0,0.0,0.0,0.0
YGL048C,RPT6,rpt6-20,tsa907-37C,22,20,0.9090909090909092,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOL123W,HRP1,hrp1-1,tsa960-37C,35,32,0.9142857142857144,1.0,0.0,0.8125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0
YML010W,SPT5,spt5-194,tsa833-37C,111,49,0.4414414414414414,1.0,0.0204081632653061,0.7551020408163265,0.0408163265306122,0.0,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0,0.0204081632653061,0.0408163265306122
YGR116W,SPT6,spt6-14,tsa834-37C,235,141,0.6,1.0,0.0212765957446808,0.1134751773049645,0.0496453900709219,0.0141843971631205,0.0,0.2198581560283688,0.0496453900709219,0.0,0.4609929078014184,0.0709219858156028
YFL034C-B,MOB2,mob2-28,tsa936-37C,75,73,0.9733333333333334,1.0,0.0,0.4246575342465753,0.0,0.0,0.2465753424657534,0.0,0.0,0.3287671232876712,0.0,0.0
YIL046W,MET30,met30-6,tsa948-37C,64,47,0.734375,1.0,0.0212765957446808,0.4893617021276595,0.0212765957446808,0.0212765957446808,0.0,0.2765957446808511,0.0425531914893617,0.0,0.0638297872340425,0.0638297872340425
YHR036W,BRL1,brl1-2221,tsa1038-37C,350,154,0.44,1.0,0.0324675324675324,0.1103896103896103,0.1233766233766233,0.0389610389610389,0.0,0.2272727272727272,0.0909090909090909,0.0,0.2077922077922078,0.1688311688311688
YPR103W,PRE2,pre2-75,tsa918-37C,68,60,0.8823529411764706,1.0,0.0,0.9833333333333332,0.0,0.0,0.0166666666666666,0.0,0.0,0.0,0.0,0.0
YPL160W,CDC60,cdc60-ts,tsa922-37C,78,72,0.9230769230769232,1.0,0.0,0.6666666666666666,0.0,0.0,0.3055555555555556,0.0,0.0,0.0277777777777777,0.0,0.0
YDR311W,TFB1,tfb1-6,tsa715-37C,66,62,0.9393939393939394,1.0,0.0,0.6774193548387096,0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0
